expense_description,category
PlayStation game,Entertainment
Mobile game credits,Entertainment
Amusement park Enchanted Kingdom,Entertainment
Star City rides,Entertainment
Escape room activity,Entertainment
Bowling session,Entertainment
Billiards game,Entertainment
Beach resort fee,Entertainment
Hotel Boracay stay,Entertainment
Airbnb booking,Entertainment
Palawan travel expenses,Entertainment
Baguio trip,Entertainment
Travel tour package,Entertainment
Museum entrance fee,Entertainment
Tuition fee university,Education
School tuition payment,Education
College enrollment,Education
Miscellaneous school fees,Education
Books and school supplies,Education
Textbook purchase,Education
Notebook ballpen supplies,Education
Uniform polo shirt school,Education
Review center fee,Education
Board exam review,Education
IELTS review class,Education
Online course Udemy,Education
Coursera subscription,Education
Skillshare learning,Education
Training seminar fee,Education
Workshop attendance,Education
Allowance daily school,Education
Project materials school,Education
Printing school documents,Education
Thesis binding,Education
BDO savings deposit,Savings
BPI bank deposit,Savings
Metrobank savings,Savings
UnionBank deposit,Savings
GCash savings GSave,Savings
Maya savings deposit,Savings
COL Financial stocks,Savings
First Metro stocks investment,Savings
Crypto Bitcoin investment,Savings
Mutual fund UITF,Savings
Sun Life insurance premium,Savings
AXA life insurance,Savings
Pru Life insurance,Savings
SSS monthly contribution,Savings
Pag-IBIG monthly payment,Savings
PhilHealth self-employed,Savings
Emergency fund transfer,Savings
Personal savings goal,Savings
Retirement fund deposit,Savings
MP2 Pag-IBIG savings,Savings
Monthly house rent,Housing & Rent
Condo rent payment,Housing & Rent
Apartment rental fee,Housing & Rent
Boarding house rent,Housing & Rent
Landlord monthly payment,Housing & Rent
Pag-IBIG housing loan,Housing & Rent
Home mortgage amortization,Housing & Rent
BDO housing loan payment,Housing & Rent
House repair roofing,Housing & Rent
Home renovation kitchen,Housing & Rent
Plumber repair service,Housing & Rent
Electrician wiring fix,Housing & Rent
Aircon cleaning service,Housing & Rent
Aircon repair,Housing & Rent
Painting house walls,Housing & Rent
Laundry shop service,Housing & Rent
Cleaning service,Housing & Rent
Security deposit condo,Housing & Rent
Advance rent payment,Housing & Rent
Water refilling station,Housing & Rent
